1,POST,"A –a- / –ar- / –aa- / +a- / +aar- to V repeatedly The first three forms (–a-, –ar-, –a-) of this postbase are non-productive, and the occurrences listed here for these three forms are relatively complete for our data. The fourth form (+a-) is used on verb bases not taking one of the first three forms and not ending in te, and the fifth form (+aar-) is used on verb bases ending in te. Form –a- (note that this form does not occur with bases ending in ar- or ag-): qalrir-",to cry out,
2,DEF,qalriaguq,it is making noises,sounds) 
3,DEF,akngir- (root),in pain,
4,DEF,akngiaguq,"he is repeatedly having pains, is aching",
5,POST,anglani-,to have fun,
6,DEF,anglaniaguq,he is enjoying himself,
7,DEF,irir- (root),slanting,
8,DEF,iriaguq,"he is leaning one way and the other, moving to and fro, rocking back and forth",
9,POST,aqvaqur-,to run,
10,DEF,aqvaquaguq,he is running around,
11,POST,alerqur-,to tell someone to do something,
12,DEF,alerquaguq,he is giving advice,
13,POST,apertur-,to point out,
14,DEF,apertuagaa,"he is demonstrating of informing concerning how to do it, or where it is",
15,DEF,ayalur- (root),leaning,
16,DEF,ayaluaguq,he is staggering,
17,POST,"piyug-, peyug-",to walk,
18,DEF,"piyuaguq, peyuaguq",he is walking,speakers) 
19,POST,qavarni-,to be sleepy,
20,DEF,qavarniagua,I keep nodding off,
21,POST,tuqu-,to die,
22,DEF,tuquagut,they keep dying off,
23,POST,muru-,"to sink into snow, mud",
24,DEF,muruaguq,he repeatedly sinks in as he walks,
25,POST,pangaleg-,to run on all fours,
26,DEF,pangalgauq,it is running on all fours,
28,POST,yuvrir-,to examine,
29,DEF,yuvriaraa,"he inspected it thoroughly’, he is giving him a medical examination ",examination 
30,POST,piqertur-,to whack,
31,DEF,piqertuaraa,he is whacking it repeatedly,
32,POST,kaugtur-,to strike,
33,DEF,kaugtuaraa,"he is striking it repeatedly, beating it",
34,POST,pissur-,to hunt,
35,DEF,pissuartuq,he is out hunting,postbase) 
39,POST,iver-,to take a few steps in the water,
40,DEF,ivrartuq,he is wading in water,
41,POST,ater-,to get down off something,only) 
42,DEF,atrartuq (used throughout Yup’ik),"he is going down, descending",
43,POST,iter-,to enter,
44,DEF,itrartuq,"he is going farther in, going inland",
45,POST,kuime-,to swim,
46,DEF,kuimartuq,he is swimming around,
47,POST,carve-,to flow,
48,DEF,carvartuq,it is flowing,postbase) 
50,POST,aper-,to utter,
51,DEF,apaagaa,he mentioned it repeatedly,
52,POST,cakner-,to struggle to function,
53,DEF,caknaaguq,he is straining,
54,POST,qaner-,"to speak, to say",
55,DEF,qanaaguq,he is talking,
56,DEF,uver- (root),tilting,
57,DEF,uvaaguq,it (boat) is rocking,
58,DEF,nasper- (root),considering alternatives’Form ,+a-: 
59,DEF,naspaaguq,"he tasted it, tried it",
60,POST,igar-,to write,
61,DEF,igarauq,he is writing letters to various people; is scribbling,
62,POST,qavar-,to sleep,
63,DEF,qavarauq,he is repeatedly dozing off’; he is sleepy,Y) 
64,POST,anar-,to defecate,
65,DEF,anarauq,he is defecating repeatedly or having diarrhea,
66,POST,ciikar-,to have loose stool,
67,DEF,ciikarauq,he has diarrhea,
68,POST,ayag-,"to leave, to go",
69,DEF,ayagauq,"he is traveling, moving from one place to another",
70,POST,enir-,to point at,
71,DEF,eniraluki,he is pointing at them one after another,
72,POST,nacig-,to cry after someone who is leaving,
73,DEF,nacigauq,he is crying after someone who is leaving,postbase) 
74,POST,atur-,to sing,
75,DEF,aturauq,he is singing various songs,
76,POST,qutug-,to snore,
77,DEF,qutugauq,he is snoring,postbase) 
78,POST,qager-,to explode,
79,DEF,qagrauq,it exploded repeatedly,beach) 
80,POST,nuteg-,to shoot,
81,DEF,nut’gauq,he is repeatedly shooting,
82,POST,muru-,to sink in,
83,DEF,muruaguq,he is sinking into mud or snow with every step,
85,POST,Postbases qavarni-,to be sleepy,
86,DEF,qavarniaguq,he keeps dozing off,
87,POST,Form +aar- (used only with bases ending in te-): ce÷irte-,to visit,
88,DEF,ce÷irtaartuq,he is going from house to house visiting,
89,POST,(c)ellu’urte-,to slide,
90,DEF,(c)ellu’urtaartuq,he is sliding down repeatedly,
91,POST,qet’e-,to squeeze,
92,DEF,qetaaraa,he is repeatedly squeezing it,
93,POST,ulpiarte-,to somersault,
94,DEF,ulpiartaartuq,he is repeatedly somersaulting,
95,POST,nuagte-,to wet with saliva,
96,DEF,nuagtaaraa,he is repeatedly wetting it with his saliva,
97,DEF,Qavarallruan qanrutellruaqa inartesqelluku.,Because he kept dozing off — repeatedly sleeping — I told him to go to bed.’Niicugniaqa ’aanaka ’alerquagillrani ’ayakatalrianun ’tan’gaurlurnun. I ’listened ’to ’my ’mother ’giving ’advice ’to ,<-ateliqe2- 
98,POST,pinir-,to be strong,
99,DEF,pinialliquq,he is having a hard time because he is weak,
100,POST,puqig-,to be intelligent,
101,DEF,puqialliquq,he is suffering from the lack of intelligence,
102,POST,arenqig-,to be comfortable,
103,DEF,arenqialliquq,"he is suffering from the lack of comfort, is poor’, he is suffering hardship",
104,DEF,"+’(g)aq1 that which has been V-ed Used productively only with verb bases that can take a transitive ending. With a possessed ending, means","that which possessor V-ed’. Also found non-productively with verb bases that take only intransitive endings, with the meaning that which has V-ed",‘to 
105,DEF,iqairaq,"washed article of clothing’, laundered article’; iqairanka the things I washed",
106,POST,kenir-,to cook,
107,DEF,keniraq,cooked food,
108,POST,ega-,to cook by boiling,
109,DEF,egaaq,boiled fish steak,
110,POST,atur-,"to wear, use, sing",
111,DEF,aturaq,"something that has been worn, used, or sung’, clothing",
112,POST,pite-,to capture (game animal),
113,DEF,pitaq,"caught game animal, quarry",
117,POST,mumigte-,to turn over,
118,DEF,mumigtaq,"translation’, pancake’, etc. ",etc. 
119,POST,elag-,to dig,
120,DEF,elagaq,dug out hole in the ground,
121,POST,qipe-,to twist,
122,DEF,qip’aq,string resulting from plying threads,
123,POST,uu-,to cook,
124,DEF,uugaq,the thing that is cooked,
125,POST,mit’e-,to land,
126,DEF,mit’aq,"a landed bird, plane, etc.",
127,DEF,Inikiki iqairat unuamek.,"Please hang today’s laundry — things that been washed today — out to dry. Ukut pitaqanka. I gathered these, caught these — have them as the things that I caught.",g 
128,DEF,neqerrluk,smoked dried fish,
129,DEF,neqerrluaq,smoked dried fish,
130,DEF,maklak,bearded seal,
131,DEF,maklaaq,bearded seal,maklak) 
132,DEF,uqvik,willow,
133,DEF,uqviaq,willow,
134,DEF,-pik,"genuine N’, e.g., Yup’ik ",Yup’ik 
135,DEF,-piaq,"genuine N’, e.g., Yupiaq ",Yupiaq 
136,DEF,+mik,"thing held with one’s N’e.g., ’uyamik thing ’worn ’hanging ’from ’the neck",
137,DEF,+miaq,"thing held with one’s N’, e.g., uyamiaq thing worn hang from the necklace",
138,DEF,"+aq3 thing that resembles N in some respect # non-productive; forms with this postbase are highly lexicalized. > -rrlugaq, -rugaq*; < PE pb. a3 qengaq",nose,
139,DEF,qengaraq,shinbone,
140,DEF,tulimaq,rib,
141,DEF,tulimaraq,rib,(variant) 
142,DEF,cingilek,arrow- or spearhead,
143,DEF,cingilegaq,arrow- or spearhead,(variant) 
144,DEF,qatek,thorax,
145,DEF,qat’gaq,chest,(anatomical) 
146,DEF,cakiq,parent-in-law,
147,DEF,cakiraq,brother- or sister-in-law,sibling) 
148,DEF,uskuq,"rope, cord",
149,DEF,uskuraq,harness,
150,DEF,ilupeq,underwear,
151,DEF,iluperaq,great-grandchild,compiler) 
152,DEF,qelluq,colon,(anatomical) 
153,DEF,qelluraq,namesake,compiler) 
154,DEF,tutgaq,"one slept next to, bedmate",
155,DEF,tutgaraq,grandchild,
156,DEF,culuk,spine of feather,
157,DEF,culugaq,dorsal fin of fish,
158,DEF,nateq,floor,
159,DEF,nat’raq,sole of skin boot,
160,DEF,murak,wood,
161,DEF,muragaq,wood,means 
163,DEF,Postbases tarneq,"soul, spirit",
164,DEF,tarenraq,"reflection’, image’, photograph",
165,DEF,cauyaq,drum,
166,DEF,cauyaraq,kayak rib,
167,DEF,kangiq,"source’, peak’, tip",
168,DEF,kangiraq,corner,
169,DEF,akuliq,middle,
170,DEF,akuliraq,bridge of nose,
171,DEF,itek,toe cap of skin boot,
172,DEF,it’gaq,foot,
173,DEF,talliq,arm,
174,DEF,talliraq,bracelet,
175,DEF,qilak,"sky’, roof",
176,DEF,qilagaq,roof of mouth,
177,DEF,avngulek,cottonwood,
178,DEF,avngulgaq,cottonwoood sapling,
179,DEF,arnaq,woman,
180,DEF,arnaraq,girl,form) 
181,DEF,"angyaq, angsaq",boat,
